time,price
2024-12-29 11:00:00,0.158511
2024-12-29 12:00:00,0.157521
2024-12-29 13:00:00,0.156447
2024-12-29 14:00:00,0.158015
2024-12-29 15:00:00,0.164781
2024-12-29 16:00:00,0.179568
2024-12-29 17:00:00,0.205571
2024-12-29 18:00:00,0.215303
2024-12-29 19:00:00,0.223589
2024-12-29 20:00:00,0.227908
2024-12-29 21:00:00,0.227336
2024-12-29 22:00:00,0.214695
2024-12-29 23:00:00,0.211578
2024-12-30 00:00:00,0.20333
2024-12-30 01:00:00,0.196829
2024-12-30 02:00:00,0.192429
2024-12-30 03:00:00,0.185049
2024-12-30 04:00:00,0.183647
2024-12-30 05:00:00,0.190493
2024-12-30 06:00:00,0.20363
2024-12-30 07:00:00,0.208486
2024-12-30 08:00:00,0.244382
2024-12-30 09:00:00,0.233854
2024-12-30 10:00:00,0.269816
2024-12-30 11:00:00,0.242637
2024-12-30 12:00:00,0.245346
2024-12-30 13:00:00,0.239042
2024-12-30 14:00:00,0.193132
2024-12-30 15:00:00,0.19496
2024-12-30 16:00:00,0.211329
2024-12-30 17:00:00,0.229918
2024-12-30 18:00:00,0.299144
2024-12-30 19:00:00,0.304733
2024-12-30 20:00:00,0.312231
2024-12-30 21:00:00,0.306351
2024-12-30 22:00:00,0.242833
2024-12-30 23:00:00,0.231851
2024-12-31 00:00:00,0.207576
2024-12-31 01:00:00,0.201368
2024-12-31 02:00:00,0.200536
2024-12-31 03:00:00,0.197364
2024-12-31 04:00:00,0.188201
2024-12-31 05:00:00,0.192082
2024-12-31 06:00:00,0.1965
2024-12-31 07:00:00,0.200648
2024-12-31 08:00:00,0.232671
2024-12-31 09:00:00,0.225399
2024-12-31 10:00:00,0.26179
2024-12-31 11:00:00,0.236946
2024-12-31 12:00:00,0.234268
2024-12-31 13:00:00,0.234268
2024-12-31 14:00:00,0.184143
2024-12-31 15:00:00,0.184988
2024-12-31 16:00:00,0.200713
2024-12-31 17:00:00,0.226737
2024-12-31 18:00:00,0.29041
2024-12-31 19:00:00,0.296645
2024-12-31 20:00:00,0.293028
2024-12-31 21:00:00,0.287347
2024-12-31 22:00:00,0.229859
2024-12-31 23:00:00,0.224488
2025-01-01 00:00:00,0.194702
2025-01-01 01:00:00,0.191597
2025-01-01 02:00:00,0.193355
2025-01-01 03:00:00,0.19488
2025-01-01 04:00:00,0.181801
2025-01-01 05:00:00,0.171539
2025-01-01 06:00:00,0.170963
2025-01-01 07:00:00,0.168929
2025-01-01 08:00:00,0.168393
2025-01-01 09:00:00,0.144482
2025-01-01 10:00:00,0.068475
2025-01-01 11:00:00,0.050564
2025-01-01 12:00:00,0.059514
2025-01-01 13:00:00,0.061665
2025-01-01 14:00:00,0.051527
2025-01-01 15:00:00,0.038694
2025-01-01 16:00:00,0.114249
2025-01-01 17:00:00,0.181593
2025-01-01 18:00:00,0.212308
2025-01-01 19:00:00,0.214109
2025-01-01 20:00:00,0.217166
2025-01-01 21:00:00,0.215384
2025-01-01 22:00:00,0.211515
2025-01-01 23:00:00,0.194539
2025-01-02 00:00:00,0.196182
2025-01-02 01:00:00,0.179671
2025-01-02 02:00:00,0.151511
2025-01-02 03:00:00,0.151341
2025-01-02 04:00:00,0.151341
2025-01-02 05:00:00,0.150949
2025-01-02 06:00:00,0.183943
2025-01-02 07:00:00,0.200269
2025-01-02 08:00:00,0.234792
2025-01-02 09:00:00,0.233567
2025-01-02 10:00:00,0.270081
2025-01-02 11:00:00,0.265968
2025-01-02 12:00:00,0.265862
2025-01-02 13:00:00,0.258096
2025-01-02 14:00:00,0.199029
2025-01-02 15:00:00,0.20658
2025-01-02 16:00:00,0.218379
2025-01-02 17:00:00,0.234898
2025-01-02 18:00:00,0.308317
2025-01-02 19:00:00,0.311328
2025-01-02 20:00:00,0.312289
2025-01-02 21:00:00,0.309344
2025-01-02 22:00:00,0.237804
2025-01-02 23:00:00,0.223424
2025-01-03 00:00:00,0.186305
2025-01-03 01:00:00,0.173403
2025-01-03 02:00:00,0.165123
2025-01-03 03:00:00,0.163982
